"state", "date_peak", "cases_peak"
"afghanistan", "05/09/21", "29,840"
"afghanistan", "06/25/21", "23,528"
"afghanistan", "08/18/21", "3,944"
"afghanistan", "09/28/21", "7,943"
"afghanistan", "11/12/21", "385,939"
"afghanistan", "12/25/21", "87,526"
"afghanistan", "03/20/22", "18,583"
"afghanistan", "06/13/22", "16,608"
"albania", "02/20/21", "769"
"albania", "05/12/21", "63,214"
"albania", "09/09/21", "7,294"
"albania", "10/20/21", "3,392"
"albania", "01/06/22", "4,813"
"albania", "01/30/22", "9,649"
"albania", "05/20/22", "2,425"
"algeria", "02/17/21", "10,710"
"algeria", "08/18/21", "478,040"
"algeria", "10/25/21", "47,852"
"algeria", "11/23/21", "38,561"
"algeria", "01/07/22", "26,721"
"algeria", "02/06/22", "22,302"
"algeria", "04/22/22", "54,028"
"algeria", "05/27/22", "52,925"
"angola", "04/21/21", "30,130"
"angola", "05/10/21", "18,575"
"angola", "06/08/21", "13,699"
"angola", "10/18/21", "138,261"
"angola", "12/07/21", "105,393"
"angola", "01/26/22", "202,189"
"angola", "03/30/22", "80,683"
"angola", "06/03/22", "51,923"
"argentina", "01/10/21", "13,810"
"argentina", "04/08/21", "160,141"
"argentina", "07/15/21", "288,127"
"argentina", "10/21/21", "246,765"
"argentina", "01/06/22", "67,474"
"armenia", "03/29/21", "81"
"armenia", "06/04/21", "1,853"
"armenia", "07/09/21", "2,704"
"armenia", "10/15/21", "12,941"
"armenia", "01/28/22", "4,623"
"armenia", "05/13/22", "205"
"australia", "06/03/21", "99,900"
"australia", "09/02/21", "140,254"
"australia", "01/20/22", "55,113"
"austria", "01/20/21", "13,367"
"austria", "05/19/21", "52,035"
"austria", "09/15/21", "8,349"
"austria", "11/10/21", "19,596"
"azerbaijan", "03/01/21", "38,902"
"azerbaijan", "04/09/21", "23,895"
"azerbaijan", "06/04/21", "36,887"
"azerbaijan", "09/01/21", "51,223"
"azerbaijan", "11/14/21", "4,128"
"azerbaijan", "02/11/22", "2,725"
"azerbaijan", "03/09/22", "4,544"
"azerbaijan", "06/20/22", "602"
"bahrain", "12/26/20", "7,859"
"bahrain", "02/11/21", "7,265"
"bahrain", "03/16/21", "10,615"
"bahrain", "06/02/21", "11,557"
"bahrain", "08/25/21", "1,358"
"bahrain", "10/31/21", "602"
"bahrain", "01/28/22", "1,538"
"bahrain", "03/04/22", "574"
"bahrain", "05/26/22", "168"
"bangladesh", "02/16/21", "215,792"
"bangladesh", "08/10/21", "724,003"
"bangladesh", "10/02/21", "1,319,579"
"bangladesh", "11/09/21", "1,032,610"
"bangladesh", "01/13/22", "2,778,937"
"bangladesh", "02/26/22", "2,761,557"
"bangladesh", "06/06/22", "15,768"
"belarus", "02/16/21", "2,992"
"belarus", "04/21/21", "21,714"
"belarus", "05/21/21", "19,803"
"belarus", "07/16/21", "77,057"
"belarus", "10/08/21", "33,407"
"belarus", "12/31/21", "78,556"
"belarus", "03/04/22", "22,136"
"belarus", "04/15/22", "21,733"
"belgium", "01/21/21", "17,267"
"belgium", "05/06/21", "70,148"
"belgium", "06/17/21", "95,526"
"belgium", "11/18/21", "4,197"
"belgium", "01/17/22", "10,916"
"belgium", "06/02/22", "156"
"benin", "05/10/21", "1,526"
"benin", "06/26/21", "2,051"
"benin", "08/30/21", "9,940"
"benin", "12/10/21", "84,084"
"benin", "02/20/22", "45,949"
"benin", "04/05/22", "41,135"
"benin", "06/03/22", "68,239"
"bolivia", "03/09/21", "10,842"
"bolivia", "05/20/21", "35,777"
"bolivia", "07/07/21", "40,992"
"bolivia", "08/28/21", "44,610"
"bolivia", "11/18/21", "23,596"
"bolivia", "01/06/22", "68,434"
"bosnia_and_herzegovina", "04/22/21", "6,197"
"bosnia_and_herzegovina", "05/23/21", "10,796"
"bosnia_and_herzegovina", "08/02/21", "14,771"
"bosnia_and_herzegovina", "09/27/21", "14,305"
"bosnia_and_herzegovina", "11/02/21", "14,148"
"bosnia_and_herzegovina", "11/28/21", "7,058"
"bosnia_and_herzegovina", "01/27/22", "8,679"
"botswana", "04/14/21", "2,692"
"botswana", "05/19/21", "6,936"
"botswana", "07/24/21", "3,990"
"botswana", "08/30/21", "9,655"
"botswana", "10/19/21", "13,320"
"botswana", "12/29/21", "56,903"
"botswana", "02/07/22", "26,133"
"botswana", "06/03/22", "29,888"
"brazil", "02/11/21", "208,980"
"brazil", "03/30/21", "530,023"
"brazil", "06/17/21", "1,148,840"
"brazil", "08/19/21", "1,094,800"
"brazil", "02/03/22", "320,277"
"brazil", "05/29/22", "91,223"
"bulgaria", "02/24/21", "12,261"
"bulgaria", "04/08/21", "7,913"
"bulgaria", "05/20/21", "8,048"
"bulgaria", "08/05/21", "3,754"
"bulgaria", "10/01/21", "45,538"
"bulgaria", "11/12/21", "36,231"
"bulgaria", "02/18/22", "24,158"
"bulgaria", "05/13/22", "216"
"burkina_faso", "06/12/21", "2,511"
"burkina_faso", "09/20/21", "9,761"
"burkina_faso", "10/26/21", "7,384"
"burkina_faso", "12/20/21", "75,658"
"burkina_faso", "02/18/22", "133,835"
"burkina_faso", "05/06/22", "39,060"
"burundi", "12/13/21", "250"
"burundi", "01/11/22", "341"
"burundi", "04/01/22", "441"
"burundi", "04/29/22", "153"
"cambodia", "04/11/21", "59,072"
"cambodia", "05/10/21", "47,681"
"cambodia", "07/18/21", "137,465"
"cambodia", "08/28/21", "104,619"
"cambodia", "09/21/21", "173,675"
"cambodia", "11/03/21", "32,041"
"cambodia", "01/17/22", "3,676"
"cambodia", "02/26/22", "27,538"
"cambodia", "04/26/22", "6,104"
"cambodia", "05/18/22", "12,173"
"cameroon", "05/10/21", "4,641"
"cameroon", "07/22/21", "19,319"
"cameroon", "09/15/21", "2,108"
"cameroon", "11/20/21", "38,899"
"cameroon", "02/13/22", "32,727"
"cameroon", "03/19/22", "39,138"
"cameroon", "05/20/22", "809"
"canada", "01/17/21", "32,548"
"canada", "05/15/21", "302,657"
"canada", "09/23/21", "40,387"
"canada", "12/05/21", "57,691"
"canada", "04/22/22", "7,750"
"canada", "06/05/22", "3,366"
"central_african_republic", "05/29/21", "2,534"
"central_african_republic", "09/20/21", "13,978"
"central_african_republic", "10/19/21", "12,026"
"central_african_republic", "12/02/21", "1,828"
"central_african_republic", "01/13/22", "19,882"
"central_african_republic", "02/16/22", "17,861"
"central_african_republic", "04/29/22", "14,227"
"central_african_republic", "05/20/22", "9,974"
"chad", "07/05/21", "881"
"chad", "09/17/21", "5,397"
"chad", "12/03/21", "1,818"
"chad", "01/14/22", "7,084"
"chad", "04/07/22", "182,149"
"chile", "02/11/21", "178,115"
"chile", "03/25/21", "112,660"
"chile", "05/27/21", "128,674"
"chile", "09/30/21", "81,845"
"chile", "12/12/21", "20,724"
"chile", "05/26/22", "1,837"
"china", "06/08/21", "88,857,143"
"china", "08/24/21", "64,357,143"
"china", "11/17/21", "17,736,857"
"china", "12/26/21", "4,995,286"
"china", "03/16/22", "644,143"
"china", "06/14/22", "214,000"
"colombia", "03/16/21", "146,086"
"colombia", "06/01/21", "280,601"
"colombia", "08/03/21", "294,310"
"colombia", "10/04/21", "157,620"
"colombia", "12/20/21", "1,127,930"
"colombia", "03/26/22", "37,540"
"colombia", "05/11/22", "11,263"
"colombia", "06/01/22", "11,137"
"congo", "04/12/21", "2,042"
"congo", "05/10/21", "3,408"
"congo", "06/21/21", "5,773"
"congo", "08/10/21", "4,039"
"congo", "11/02/21", "13,526"
"congo", "12/26/21", "10,392"
"congo", "02/12/22", "7,568"
"congo", "05/13/22", "1,629"
"costa_rica", "01/16/21", "2,787"
"costa_rica", "03/03/21", "12,127"
"costa_rica", "04/17/21", "13,757"
"costa_rica", "06/05/21", "29,602"
"costa_rica", "07/24/21", "84,391"
"costa_rica", "09/25/21", "18,965"
"costa_rica", "10/30/21", "21,993"
"costa_rica", "02/26/22", "6,186"
"cote_d_ivoire", "05/21/21", "20,883"
"cote_d_ivoire", "08/03/21", "18,120"
"cote_d_ivoire", "10/09/21", "110,950"
"cote_d_ivoire", "12/29/21", "234,925"
"cote_d_ivoire", "03/06/22", "163,257"
"cote_d_ivoire", "04/08/22", "116,553"
"cote_d_ivoire", "06/03/22", "10,563"
"croatia", "01/17/21", "2,822"
"croatia", "05/07/21", "23,207"
"croatia", "09/30/21", "3,354"
